1502785049005,184,-4000,-432,19,-10,12
1502785049006,202,-4056,-512,13,-4,-72
1502785049007,184,-4034,-468,10,-3,16
1502785049008,206,-4012,-504,5,29,-61
1502785049009,184,-4024,-484,10,13,-21
1502785049010,212,-4020,-478,1,22,-17
1502785049011,200,-4024,-402,10,2,-69
1502785049012,172,-4038,-432,20,12,14
1502785049013,174,-4002,-514,28,12,-59
1502785049014,194,-4008,-480,22,35,-4
1502785049015,222,-4038,-480,18,7,-40
1502785049016,180,-4024,-498,8,7,-10
1502785049017,194,-4036,-468,33,44,-37
1502785049018,188,-4080,-482,20,-10,-30
1502785049019,204,-3988,-442,19,42,-21
1502785049020,204,-4044,-464,31,36,-46
1502785049021,190,-4052,-458,27,-8,2
1502785049022,194,-4054,-456,29,39,-46
1502785049023,192,-4036,-450,25,-10,-24
1502785049024,204,-4042,-480,38,19,-53
1502785049025,206,-4024,-452,22,-6,1
1502785049026,170,-4036,-498,24,9,-47
1502785049027,176,-4006,-496,11,31,11
1502785049028,190,-4012,-422,10,11,-52
1502785049029,188,-3998,-524,-7,1,17
1502785049030,210,-4036,-496,2,6,-25
1502785049031,212,-4052,-436,-4,15,-34
1502785049032,188,-4008,-478,30,3,-16
1502785049033,186,-4018,-504,47,21,-74
1502785049034,168,-4060,-472,28,-1,-6
1502785049035,198,-4018,-446,46,9,-51
1502785049036,182,-4072,-456,23,17,7
1502785049037,184,-4036,-476,43,19,-42
1502785049038,212,-4006,-514,37,1,-5
1502785049039,204,-3984,-478,27,14,-28
1502785049040,180,-4002,-432,17,4,-23
1502785049041,196,-4038,-480,39,1,-7
1502785049042,196,-4026,-462,42,33,-53
1502785049043,162,-4014,-466,23,7,-21
1502785049044,170,-4054,-412,22,14,-17
1502785049045,190,-4026,-470,27,-4,-20
1502785049046,194,-4026,-498,25,21,-19
1502785049047,170,-4016,-504,16,11,-17
1502785049048,176,-4020,-432,24,3,-44
1502785049049,204,-4034,-506,13,34,4
1502785049050,174,-4028,-442,4,-5,-42
1502785049051,194,-4024,-498,10,4,-26
1502785049052,170,-4006,-486,-2,33,-21
1502785049053,206,-4042,-462,36,-8,-33
1502785049054,164,-4020,-484,14,29,-16
1502785049055,174,-4034,-462,7,18,-43
1502785049056,194,-4058,-442,-4,17,14
1502785049057,166,-4020,-478,9,36,-60
1502785049058,214,-4002,-500,18,-4,12
1502785049059,196,-4040,-404,17,36,-64
1502785049060,196,-4012,-450,18,9,-2
1502785049061,200,-4006,-442,34,21,-22
1502785049062,222,-3984,-428,33,10,-52
1502785049063,202,-4002,-456,29,22,20
1502785049064,214,-4048,-476,34,7,-80
1502785049065,208,-4016,-412,19,21,12
1502785049066,212,-4022,-444,27,0,-38
1502785049067,192,-4006,-476,23,15,-22
1502785049068,236,-4024,-454,14,15,-22
1502785049069,176,-4018,-482,11,24,-14
1502785049070,226,-4020,-452,26,8,-38
1502785049071,202,-4008,-446,8,24,-14
1502785049072,166,-4000,-478,28,-9,-42
1502785049073,190,-4036,-424,39,30,-32
1502785049074,216,-4044,-520,35,-11,5
1502785049075,170,-4026,-422,32,27,-57
1502785049076,228,-4012,-450,24,5,-10
1502785049077,170,-3984,-446,50,6,-47
1502785049078,202,-4044,-470,15,4,-8
1502785049079,208,-4028,-452,19,25,-42
1502785049080,210,-4026,-408,-9,1,0
1502785049081,196,-4008,-466,36,9,-32
1502785049082,202,-4032,-486,8,28,-18
1502785049083,168,-4022,-518,20,21,-16
1502785049084,148,-4012,-384,6,13,-36
1502785049085,176,-4040,-496,16,37,19
1502785049086,210,-4026,-494,12,5,-76
1502785049087,196,-4044,-452,37,24,13
1502785049088,162,-4020,-478,43,2,-57
1502785049089,154,-4032,-500,13,12,-6
1502785049090,184,-4044,-438,13,7,-57
1502785049091,196,-4032,-520,-7,12,2
1502785049092,166,-4054,-404,14,20,-47
1502785049093,198,-4078,-470,27,16,-21
1502785049094,200,-4060,-442,43,6,-7
1502785049095,198,-4028,-432,39,-1,-73
1502785049096,182,-4028,-440,33,23,27
1502785049097,230,-4028,-422,30,14,-48
1502785049098,208,-3984,-466,3,8,-5
1502785049099,224,-4016,-518,17,12,-56
1502785049100,188,-3992,-422,2,3,8
1502785049101,186,-4008,-464,19,39,-55
1502785049102,216,-4000,-442,1,-18,-27
1502785049103,190,-4018,-518,22,31,-25
1502785049104,210,-4014,-464,33,1,-59
1502785049105,182,-3998,-408,38,18,-3
1502785049106,222,-4014,-454,30,30,-38
1502785049107,198,-4042,-410,4,0,14
1502785049108,222,-4018,-442,6,39,-49
1502785049109,212,-4036,-456,10,13,8
1502785049110,190,-4068,-468,17,14,-74
1502785049111,190,-4018,-466,1,12,-3
1502785049112,178,-4034,-424,8,2,-51
1502785049113,148,-4028,-484,23,26,4
1502785049114,176,-4038,-444,27,8,-21
1502785049115,204,-4034,-452,16,16,-44
1502785049116,194,-4008,-446,15,-4,-2
1502785049117,212,-4002,-548,16,16,-65
1502785049118,178,-4048,-384,27,17,17
1502785049119,210,-4022,-412,54,10,-51
1502785049120,194,-4042,-500,23,-6,-13
1502785049121,174,-4038,-462,30,18,-14
1502785049122,206,-4036,-422,32,5,-16
1502785049123,188,-4012,-482,43,5,-50
1502785049124,200,-4002,-458,41,30,10
1502785049125,234,-4026,-446,32,11,-32
1502785049126,180,-4016,-424,28,10,-40
1502785049127,212,-4034,-476,42,-4,-10
1502785049128,188,-4032,-486,27,39,-60
1502785049129,222,-4020,-454,12,-11,0
1502785049130,198,-4002,-410,22,27,-50
1502785049131,216,-4006,-426,11,6,4
1502785049132,182,-4012,-470,21,-1,-37
1502785049133,186,-4062,-486,3,39,-22
1502785049134,196,-4014,-422,6,14,1
1502785049135,180,-4036,-428,15,5,-40
1502785049136,190,-3996,-446,-6,29,8
1502785049137,182,-4044,-480,15,-2,-44
1502785049138,192,-4040,-476,36,6,-15
1502785049139,206,-4014,-514,18,24,-9
1502785049140,220,-4036,-456,25,13,-43
1502785049141,212,-4028,-422,9,17,-6
1502785049142,246,-4024,-492,48,16,-47
1502785049143,194,-4034,-498,9,11,0
1502785049144,176,-4024,-504,39,24,-54
1502785049145,164,-4040,-468,22,13,12
1502785049146,204,-4024,-428,29,8,-55
1502785049147,172,-4008,-438,11,24,-11
1502785049148,204,-4034,-472,5,20,-25
1502785049149,194,-4012,-492,15,4,-49
1502785049150,170,-4034,-466,4,1,-15
1502785049151,164,-4006,-496,34,22,-51
1502785049152,176,-4028,-492,14,16,-10
1502785049153,178,-4068,-482,30,-11,-45
1502785049154,182,-4036,-464,18,31,-5
1502785049155,172,-4038,-432,33,6,-49
1502785049156,226,-4036,-476,19,22,1
1502785049157,194,-3994,-452,31,5,-53
1502785049158,196,-4042,-496,10,12,-13
1502785049159,184,-4048,-472,37,24,-57
1502785049160,176,-4052,-430,25,1,-11
1502785049161,182,-4044,-464,10,39,-10
1502785049162,220,-3978,-486,38,-13,-61
1502785049163,200,-4026,-398,28,19,8
1502785049164,174,-4028,-480,24,20,-59
1502785049165,230,-4036,-450,7,15,-1
1502785049166,174,-4026,-454,14,-1,-67
1502785049167,184,-3986,-470,4,-2,21
1502785049168,230,-4022,-494,21,19,-57
1502785049169,204,-4006,-426,-2,-8,-30
1502785049170,190,-4042,-424,12,45,9
1502785049171,182,-4008,-468,31,-19,-67
1502785049172,192,-4026,-498,16,10,16
1502785049173,198,-4040,-442,34,20,-46
1502785049174,182,-4040,-456,7,6,4
1502785049175,208,-4032,-432,29,27,-66
1502785049176,172,-4036,-430,8,18,-10
1502785049177,226,-4022,-476,24,-7,-62
1502785049178,188,-4024,-478,25,7,5
1502785049179,188,-4042,-462,25,26,-58
1502785049180,212,-4020,-388,44,-3,-6
1502785049181,204,-4034,-446,23,32,-31
1502785049182,182,-4028,-410,19,4,-56
1502785049183,190,-4012,-444,18,28,41
1502785049184,180,-4008,-526,30,13,-107
1502785049185,206,-3992,-486,13,-8,23
